id	name	disease_id
186	Astrocytoma^^Cluster_of_size_1_4	17
187	Astrocytoma.35NSNS	17
188	Astrocytoma^^Cluster_of_size_1_47	17
189	Astrocytoma.21	17
190	Astrocytoma.2	17
191	Astrocytoma.3NS	17
192	Astrocytoma^^Cluster_of_size_1_49	17
193	Astrocytoma^^Cluster_of_size_1_43	17
194	Astrocytoma.7NS	17
195	Astrocytoma.1	17
196	Astrocytoma.40NS	17
197	Astrocytoma.6NS	17
198	Astrocytoma.18	17
199	Astrocytoma.41NS	17
200	Astrocytoma.26	17
201	Astrocytoma.34NSNS	17
202	Astrocytoma.27NS	17
203	Astrocytoma^^Cluster_of_size_1_5	17
204	Astrocytoma^^Cluster_of_size_1_14	17
205	Astrocytoma^^Cluster_of_size_1_25	17
206	AtopicDermatitis.1	18
207	AtopicDermatitis.2	18
208	AtrialFibrillation.2NS	19
209	AtrialFibrillation.4	19
210	AtrialFibrillation.1NS	19
211	AtrialFibrillation.3	19
212	Autism.2NS	20
213	Autism.4	20
214	Autism.20NS	20
215	Autism.11	20
216	Autism.22NS	20
217	Autism.12	20
218	Autism.26NSNS	20
219	Autism.10	20
220	Autism.8	20
221	Autism.14NS	20
222	Autism.16	20
223	Autism.13NS	20
224	Autism.18NS	20
225	Autism.7NS	20
226	Autism.19	20
227	Autism.25NS	20
228	Autism.1	20
229	Autism.27NSNS	20
230	Autism.23NSNS	20
231	Autism.24NS	20
232	Autism.6	20
233	Autism.21NS	20
234	Autism.15NS	20
235	Autism.5	20
236	Autism.9	20
237	Autism.17NS	20
238	Autism.3	20
239	AutosomalDominantMonocytopenia.1NS	21
240	AutosomalDominantMonocytopenia^^Cluster_of_size_1_3	21
241	AutosomalDominantMonocytopenia.2NS	21
242	AutosomalDominantMonocytopenia.4NS	21
243	AutosomalDominantMonocytopenia^^Cluster_of_size_1_5	21
244	AxialSpondyloarthropathy.5	22
245	AxialSpondyloarthropathy.1	22
246	AxialSpondyloarthropathy.2	22
247	AxialSpondyloarthropathy.3	22
248	AxialSpondyloarthropathy.4NS	22
249	BasaloidLungCancer.1NSNS	23
250	BasaloidLungCancer.3	23
251	BasaloidLungCancer.2NSNS	23
252	BehcetsDisease.5	24
253	BehcetsDisease.4NS	24
254	BehcetsDisease.1NS	24
255	BehcetsDisease.3	24
256	BehcetsDisease.6NS	24
257	BehcetsDisease.2NS	24
258	BladderCarcinoma.2NS	25
259	BladderCarcinoma.1	25
260	BreastCancer.1NS	26
261	BreastCancer.2NS	26
262	CampylobacterJenuniInfection.1	27
263	CampylobacterJenuniInfection.3	27
264	CampylobacterJenuniInfection.4	27
265	CampylobacterJenuniInfection^^Cluster_of_size_1_5	27
266	CampylobacterJenuniInfection.6NS	27
267	CampylobacterJenuniInfection.2NS	27
268	CardioembolicStroke.19	28
269	CardioembolicStroke.14NS	28
270	CardioembolicStroke.10NS	28
271	CardioembolicStroke.9	28
272	CardioembolicStroke.2	28
273	CardioembolicStroke.1	28
274	CardioembolicStroke.12	28
275	CardioembolicStroke.3	28
276	CardioembolicStroke.17NS	28
277	CardioembolicStroke.6	28
278	CardioembolicStroke.8	28
279	CardioembolicStroke.20	28
280	CardioembolicStroke.15	28
281	CardioembolicStroke.11	28
282	CardioembolicStroke.4	28
283	CardioembolicStroke.7	28
284	CardioembolicStroke.5	28
285	CardioembolicStroke.16	28
286	CardioembolicStroke.18NS	28
287	CardioembolicStroke.13NS	28
288	CdLS.4	29
289	CdLS.2	29
290	CdLS.5NS	29
291	CdLS.1NS	29
292	CdLS.3NS	29
293	CervicalCancer.1NS	30
294	CervicalCancer.2NS	30
295	Choroideremia.1	31
296	Choroideremia.3NS	31
297	Choroideremia.2	31
298	ChronicAtopicDermatitis.1NS	32
299	ChronicAtopicDermatitis^^Cluster_of_size_1_2	32
300	ChronicLymphocyticLeukemia.2NS	33
301	ChronicLymphocyticLeukemia.1	33
302	ChronicObstructivePulmonaryDisease.7	34
303	ChronicObstructivePulmonaryDisease.16	34
304	ChronicObstructivePulmonaryDisease.27	34
305	ChronicObstructivePulmonaryDisease.11	34
306	ChronicObstructivePulmonaryDisease.34	34
307	ChronicObstructivePulmonaryDisease.43	34
308	ChronicObstructivePulmonaryDisease.22	34
309	ChronicObstructivePulmonaryDisease.4	34
310	ChronicObstructivePulmonaryDisease.39	34
311	ChronicObstructivePulmonaryDisease.44	34
312	ChronicObstructivePulmonaryDisease.46	34
313	ChronicObstructivePulmonaryDisease.36	34
314	ChronicObstructivePulmonaryDisease.41	34
315	ChronicObstructivePulmonaryDisease.37NS	34
316	ChronicObstructivePulmonaryDisease.35	34
317	ChronicObstructivePulmonaryDisease.31	34
318	ChronicObstructivePulmonaryDisease.8NS	34
319	ChronicObstructivePulmonaryDisease.28	34
320	ChronicObstructivePulmonaryDisease.5	34
321	ChronicObstructivePulmonaryDisease.26	34
322	ChronicObstructivePulmonaryDisease.13	34
323	ChronicObstructivePulmonaryDisease.2	34
324	ChronicObstructivePulmonaryDisease.10	34
325	ChronicObstructivePulmonaryDisease.18	34
