disease_digraph_id	property	value
407	appears_in	Hidalgo2009
409	appears_in	Hidalgo2009
410	appears_in	Hidalgo2009
413	appears_in	Hidalgo2009
414	appears_in	Hidalgo2009
416	appears_in	Hidalgo2009
417	appears_in	Hidalgo2009
419	appears_in	Hidalgo2009
420	appears_in	Hidalgo2009
421	appears_in	Hidalgo2009
422	appears_in	Hidalgo2009
423	appears_in	Hidalgo2009
424	appears_in	Hidalgo2009
425	appears_in	Hidalgo2009
426	appears_in	Hidalgo2009
427	appears_in	Hidalgo2009
428	appears_in	Hidalgo2009
430	appears_in	Hidalgo2009
431	appears_in	Hidalgo2009
434	appears_in	Hidalgo2009
436	appears_in	Hidalgo2009
438	appears_in	Hidalgo2009
451	appears_in	Hidalgo2009
452	appears_in	Hidalgo2009
453	appears_in	Hidalgo2009
456	appears_in	Hidalgo2009
457	appears_in	Hidalgo2009
458	appears_in	Hidalgo2009
461	appears_in	Hidalgo2009
462	appears_in	Hidalgo2009
463	appears_in	Hidalgo2009
464	appears_in	Hidalgo2009
468	appears_in	Hidalgo2009
469	appears_in	Hidalgo2009
471	appears_in	Hidalgo2009
472	appears_in	Hidalgo2009
473	appears_in	Hidalgo2009
474	appears_in	Hidalgo2009
475	appears_in	Hidalgo2009
476	appears_in	Hidalgo2009
479	appears_in	Hidalgo2009
480	appears_in	Hidalgo2009
485	appears_in	Hidalgo2009
486	appears_in	Hidalgo2009
487	appears_in	Hidalgo2009
488	appears_in	Hidalgo2009
490	appears_in	Hidalgo2009
491	appears_in	Hidalgo2009
492	appears_in	Hidalgo2009
493	appears_in	Hidalgo2009
494	appears_in	Hidalgo2009
495	appears_in	Hidalgo2009
496	appears_in	Hidalgo2009
497	appears_in	Hidalgo2009
498	appears_in	Hidalgo2009
499	appears_in	Hidalgo2009
500	appears_in	Hidalgo2009
501	appears_in	Hidalgo2009
504	appears_in	Hidalgo2009
505	appears_in	Hidalgo2009
506	appears_in	Hidalgo2009
507	appears_in	Hidalgo2009
508	appears_in	Hidalgo2009
509	appears_in	Hidalgo2009
510	appears_in	Hidalgo2009
511	appears_in	Hidalgo2009
512	appears_in	Hidalgo2009
513	appears_in	Hidalgo2009
514	appears_in	Hidalgo2009
515	appears_in	Hidalgo2009
516	appears_in	Hidalgo2009
519	appears_in	Hidalgo2009
520	appears_in	Hidalgo2009
